GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,main.java.com.example,TriangleType,0,27,0,0,0,2,0,1,0,1
demo,main.java.com.example,Triangle,0,157,9,21,0,25,9,10,0,4
